0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
2,31907634.93,157040,76457508.13,1816035.92,0,0,39499302.4,8566550.49,0,119290932.2,,1114662.72,,32543140.12,57210.1,0,0,2862825.77,,,0,0,36577838.71,155868770.9,27400000,0,5155892.05,1015475.39,406883.82,360901.29,0,248157.58,20372353.56,0,55132540.19,0,0,0,800000,0,800000,55932540.19,83976684,529462.5,11066429.89,-10011640.18,99936230.72,61376724.83,61376724.83,86480066.53,37042271.75,9596697.21,36500881.98,2647794.22,2565840.86,,-21888181.45,2007067.4,514621.37,-20395735.42,812371.92,-18577413.51,84981422.1,9659844.87,11060815.38,20107230.32,25700,915885.3,444784.57,10394713.07,21512921.86,31907634.93,2.163712,2.008331,0.578744,0.200622,0.358844,0.365558,1.559682,-0.178342,0.149901,0.814956,-0.185044,-0.15829,-0.27256,,,,,,,,-0.42503,-0.42503,-0.227808,-0.211724,0.368046,-20906655.5,26.290716,26.290716,-0.156753,-0.185044,-0.185044,,,,0.702298,519.722397,2.119015,172.249842,691.972239,7.173303,0.904314,2.297869,0.451271,1.723914,1.25103,0.331641,0.551542,0.765329,0.204708,0.491532,0.411618,0.234671,0.208786,0.018367,0.981633,0.641156,2.992953,0.985697,0.495821,0.014303,-1.193115,1.073174,-0.073174,,1.384587,0.180212,,-16181927.42,-3256435.34,13651148.41,13012888.09,0.070962,-0.53491,-9987671.027,-0.095899,-0.100381,-0.13659,-0.521792,-0.16694,-15117247.37,,-0.096987,0.396477,0.603523,-0.35662,-0.302678,0.156357,0.594702,0.04314,0.7942,-0.237747,2.301899,3,,,,,,,,,,,,1,,0
2,55418010.03,58450.9,62786195.99,8540034.27,0,0,49290012.59,22985891,0,149801742.2,,8277482.01,,33904871.9,85709.8,0,0,12234831.82,,,0,0,54502895.53,204304637.7,24400000,0,2991393.71,9668375.95,831963.17,4567940.8,0,212157.58,48550038.78,0,91221869.99,0,0,0,800000,0,800000,92021869.99,83976684,1338409.14,11066429.89,-9391835.72,112282767.7,45638997.5,45638997.5,40476213.85,23909820.63,4550639.84,9781406.55,774295.86,-382163.05,,5426256.12,1192538.94,222694.73,6396100.33,3166324.51,3055159.25,73168972.77,4178904.41,-8973296.6,21529526.32,1231000,1942971.29,20722627.63,-13411349.46,68829359.49,55418010.03,1.642169,1.390191,0.607508,-0.098368,0.450415,0.479106,1.819555,0.152119,-0.121298,1.123544,0.123544,0.041844,0.310748,,,,,,,,-0.256412,-0.256412,-0.531959,-0.525812,-0.732023,7782293.98,-1.811269,-1.811269,0.027971,0.123544,0.123544,1.124455,1.608592,1.80879,0.655527,556.803915,1.515561,240.834912,797.638827,5.869395,0.74368,1.04526,0.339207,1.373675,1.002166,0.253428,0.430112,0.733227,0.271252,0.307603,0.286728,0.266773,0.165953,0.059885,0.940115,0.549585,2.680807,0.991306,0.726152,0.008694,3.397254,0.848369,0.151631,-2.937096,1.603212,-0.196615,-1.653681,-2959677.22,-564103.04,-12847246.42,16795264.88,-0.043921,-1.334309,11513888.08,0.039816,0.016965,0.022707,0.091956,0.028793,6995779.62,0.91428,0.034242,0.47611,0.52389,0.118895,0.066942,0.099709,0.214321,0.016966,0.330996,0.163935,-0.046169,3,,,,,,,,,,,,1,,0
2,61743562.91,0,7229632.43,1067455.13,,,19682454.86,31555901.63,0,121279098,0,0,1758357.15,30411367.78,978588.16,0,0,12181733.6,0,912043.01,0,0,48543495.99,169822594,16500000,0,3704771.15,9631510.81,987157.76,1272783.02,0,212157.58,29127577.05,0,61435957.37,0,,9800000,10600000,,10600000,72035957.37,83976684,3336637.48,11066429.89,-26074685.8,97786636.58,40449541.51,40449541.51,49813351.05,24730508.86,3404677.51,15608519.27,1127523.96,-255711.81,4390055.93,-9619521.35,922039,281602.16,-8979084.51,1022886.03,-10001970.54,52647804.19,8687637.33,-6952156.3,0,35365.2,3092508.21,0,6325552.88,55418010.03,61743562.91,1.974074,1.460435,1.005007,-0.113161,0.424184,0.459622,1.736665,-0.037146,-0.084753,0.870896,-0.129104,-0.103038,-0.168778,-18.81588,,,-4.273797,-2.403837,-2.772773,,-0.113707,-0.113707,0.230682,-0.251824,0.595734,-13161964.2,,,-0.092792,-0.129104,-0.129104,,,,1.15544,315.896974,0.906846,402.493918,718.390892,7.38647,0.683137,0.690492,0.298432,1.257833,0.785074,0.216234,0.385106,0.714152,0.363577,0.042572,0.352386,0.285848,0.179077,0.071732,0.922897,0.575816,3.564017,0.852851,0.623799,0.147149,-1.750628,1.071325,-0.071325,,1.301567,-0.171872,,-7911141.32,-1754006.49,8079559.37,4460400.883,-0.040938,1.319692,-8297255.137,-0.041973,-0.053468,-0.073793,-0.311025,-0.095225,-7851560.55,,-0.046234,0.388608,0.611392,-0.237815,-0.24727,0.084171,0.385876,0.027875,0.497922,-0.200108,,1,2,5,2,,,,,,,,,1,,0
2,32677907.43,0,4995475.82,2167170.83,,,10120665.71,44721158.08,0,94682377.87,0,24082037.91,1540395.99,28851673.39,572807.75,0,0,13179888.17,0,912043.01,1943666.67,0,73128207.37,167810585.2,16500000,0,14460094.23,7767814.4,1157569.32,2077767.11,0,212157.58,29752737.51,0,71928140.15,0,,9800000,10600000,,10600000,82528140.15,83976684,3336637.48,11066429.89,-37197126.42,85282445.09,43314824.87,43314824.87,53500425.67,23075946.97,5592507.92,16236569.57,1256877.14,-162268.42,6663486.69,-10347869.22,83539.46,97624.57,-10361954.33,1122237.16,-11484191.49,63623516.08,5229356.27,1428298.18,100000,30450,3978699.35,70000,-29065655.48,61743562.91,32677907.43,1.316347,0.694599,0.454313,0.019857,0.491793,0.536878,1.967704,-0.054856,0.018482,0.872128,-0.127872,-0.051287,-0.011848,,,,,,,,0.070836,0.070836,0.074018,0.642595,0.040238,-12083990.46,,,-0.118679,-0.127872,-0.127872,,,,7.086207,51.649634,0.605056,604.902687,656.552321,2.540723,1.048818,0.917478,0.401135,1.461782,0.711995,0.256579,0.473207,0.564222,0.194731,0.029769,0.135595,0.435778,0.17193,0.07854,0.916025,0.508207,1.811368,0.871559,0.671627,0.128441,-1.953191,0.998641,0.001359,,1.468862,0.032975,,0,-2587109.79,-26478545.69,34450549.81,0.008511,-0.221713,27884740.67,-0.053935,-0.068028,-0.106354,-0.387567,-0.125463,-9105077.19,,-0.054258,0.467251,0.532749,-0.238899,-0.265133,0.129113,0.37485,0.029017,0.53298,-0.22447,-0.006738,1,2,5,1,1,1,2,,,,,,1,,0
2,79725918.76,168000,6860686.71,564250.53,,,7131602.02,67165093.24,0,161615551.3,0,24116553.83,1322434.83,26518343.11,2932.5,0,0,12486550.77,0,912043.01,1747666.71,0,68896507.43,230512058.7,19500000,0,20313435.03,56211606.87,1495730.22,941241.14,0,212157.58,31322909.12,0,130097080,0,,9800000,10600000,,10600000,140697080,83976684,3336637.48,11066429.89,-34728281.18,89814978.73,60080600.35,60080600.35,51395574.95,29914239.47,5788340.01,15794371.06,887246.3,-221195.86,-1848083.57,8463829.54,500,1279868.87,7184460.67,2651927.03,4532533.64,109608424.5,8535020.69,46596046.56,0,83542,1439251.55,0,47048011.33,32677907.43,79725918.76,1.242269,0.726,0.612819,0.358164,0.610368,0.648035,2.566521,0.118657,0.41748,1.053147,0.053147,-0.080873,0.373644,,,,,,,,0.387068,0.387068,-0.039343,0.035017,-0.027235,-44592238.52,31.623473,31.623473,0.053147,0.053147,0.053147,1.123495,1.640749,1.843373,10.134915,36.014116,0.534726,682.59258,718.606696,1.720518,2.214026,1.069013,0.468834,2.170149,0.846058,0.301668,0.686253,0.701115,0.345864,0.030492,0.136732,0.298885,0.115041,0.054169,0.941875,0.389632,1.983118,0.924661,0.786065,0.075339,4.198834,1.178074,-0.178074,10.280353,1.824356,0.775559,5.505315,3000000,-1192325.68,48240337.01,-307693.3793,0.202141,4.158493,60729.39066,0.040528,0.022758,0.035369,0.163718,0.051772,8071706.97,0.890079,0.035016,0.502098,0.497902,0.140875,0.075441,0.096343,0.262886,0.014768,0.373997,0.137149,-0.009172,1,2,5,1,1,1,2,,,,,,1,,0
2,45083431.98,0,4296549.52,2981631.74,,,4036241.7,43100328.69,0,99498183.63,0,24269150.88,1104473.67,24366790.81,20464130.17,0,0,12070392.67,0,912043.01,0,0,84721252.07,184219435.7,0,0,12974376.51,2187613.13,1623369.89,2662254.91,0,212157.58,34543411.95,0,54203183.97,0,,0,800000,,800000,55003183.97,83976684,610740.46,11066429.89,-23104188.86,129216251.7,131331494.7,131331494.7,106509658.5,78007808.91,4992875.99,20310559.05,-404998.27,-103114.81,-2658568.37,24718721.39,79869.28,162819.23,24635771.44,4434498.52,20201272.92,110274149,14116881.95,-11737579.58,0,442240,22917199.7,0,-34642486.78,79725918.76,45083431.98,1.835652,1.04049,0.831749,-0.216548,0.298574,0.321211,1.425668,0.313504,-0.119955,1.438694,0.438694,-0.081134,-0.200825,3.130838,3.707483,3.707483,3.456949,2.429036,1.920513,3.456949,1.185922,1.185922,1.072351,-0.137425,0.285937,43694361.68,-1.251901,-1.251901,0.185307,0.438694,0.438694,0.983561,1.266012,1.245199,23.54194,15.504245,1.41491,257.966938,273.471183,4.686869,3.419491,2.104514,1.005933,5.161881,1.709848,0.633333,1.199203,0.540107,0.244727,0.023323,0.245875,0.459893,0.13227,0.065522,0.929527,0.701426,2.673255,0.985455,0.985455,0.014545,2.164482,1.003367,-0.003367,-0.581032,0.839663,-0.089374,-0.474846,-19500000,19070052.5,-53712539.28,12968261.69,-0.063715,-0.437431,-10378885.51,0.11685,0.097419,0.154732,0.793995,0.18446,24230773.17,1.016714,0.131532,0.406024,0.593976,0.188216,0.153819,0.038017,0.154651,-0.003084,0.189585,0.2394,-0.004249,3,2,5,1,1,1,2,,,,,,1,,0
2,57128374.05,50000,4540337.99,1569899.02,,,4558473.98,41890352.5,0,109737437.5,0,24319401.94,886512.51,36619675.46,11200244.74,0,0,11353345.23,0,912043.01,0,0,86569781.94,196307219.5,0,0,11914914.64,2737763.51,1516485.55,1581367.19,0,212157.58,39135211.46,0,57097899.93,0,,0,800000,,800000,57897899.93,83976684,610740.46,11066429.89,-20320012.05,138409319.6,74503718.53,74503718.53,61904748.96,36635309.02,5463422.39,18993280.75,-670961.45,-205961.95,-331634.12,12393007.62,139330.94,142622.6,12389715.96,3196648.14,9193067.82,76353833.73,10728683.8,19365739.89,0,20000,7340797.82,0,12044942.07,45083431.98,57128374.05,1.921917,1.188259,1.000534,0.339167,0.294935,0.314591,1.418309,0.307005,0.343057,1.071145,0.071145,0.502852,0.065616,-0.752291,-0.742775,-0.742775,-0.544926,-0.497084,-0.498639,-0.544926,-0.432705,-0.432705,-0.418787,0.094244,-0.064857,-11393133.4,,,0.071145,0.071145,0.071145,0.945845,1.478877,1.398789,16.861982,21.646328,0.862102,423.383776,445.030104,2.943861,1.5215,1.45783,0.712151,2.443287,0.869908,0.391582,0.556776,0.559009,0.291015,0.023383,0.268149,0.440991,0.186543,0.057835,0.937519,0.705065,2.284401,0.986183,0.986183,0.013817,3.056439,1.000266,-0.000266,2.106559,1.024833,0.25993,1.562634,0,0,12044942.07,6962523.527,0.09865,1.289831,-378274.2934,0.061592,0.048318,0.087873,0.301479,0.068701,11718754.51,1.057255,0.059696,0.508275,0.491725,0.166341,0.123391,0.073331,0.254931,-0.009006,0.319256,0.205056,-0.008469,1,2,5,1,1,1,1,1,,,,,1,,0
2,56229248.58,0,8129104.57,16726158.09,0,0,2820910.16,49174638.6,0,133080060,0,0,668459.55,46524222.01,85639.26,0,0,10620297.79,0,912043.01,0,0,59833508.86,192913568.9,0,0,18392141.14,6691494.34,862729.14,-1401101.71,0,212157.58,19300310.45,0,44057730.94,0,0,0,800000,0,800000,44857730.94,83976684,610740.46,11066429.89,-18200012.07,148055837.9,97363301.61,97363301.61,85788461.23,53079432.11,11400008.27,17053306.76,-557401.99,2428751.47,133951.41,14003591.85,349642.23,3645772.97,10707461.11,2893235.82,7814225.29,101386898.4,17060950.02,17562720.98,0,5524,18348587.07,0,-899125.47,57128374.05,56229248.58,3.020584,1.904443,1.276263,0.39863,0.232528,0.247312,1.302978,0.301696,0.341835,1.069696,0.069696,0.270471,-0.017287,-0.347679,-0.328652,-0.328652,-0.149987,-0.135778,0.129959,-0.149987,0.306825,0.306825,0.385814,1.086606,-0.10214,28949049.06,-0.093104,-0.093104,0.05572,0.069696,0.069696,0.947943,1.52713,1.447632,15.369785,23.812955,1.165748,313.961508,337.774463,3.502777,1.374587,1.717808,0.801946,2.342043,1.33007,0.500299,0.679757,0.689843,0.291474,0.042139,0.461462,0.310157,0.241166,0.055052,0.94022,0.767472,3.199534,0.982166,0.982166,0.017834,4.135796,1.307835,-0.307835,2.247532,1.041326,0.180383,1.254158,0,0,-899125.47,-23624955.02,0.091039,1.251619,-41973542.09,0.052156,0.040153,0.064363,0.187969,0.054556,10150059.12,1.054916,0.052615,0.454831,0.545169,0.143828,0.080258,0.117087,0.175151,-0.005725,0.286514,0.132231,,1,2,5,1,1,1,2,,,,,,1,,0
2,56469517.42,339100,3760743.2,1583578.84,0,0,26936417.21,81846965.23,0,174264481.1,0,0,450406.59,41083566.4,875578.61,0,0,12243287.52,0,362043.01,0,0,67887598.56,242152079.6,0,0,11538474.81,15476176.46,1142823.04,2853657.82,0,8015518.92,35818613.36,0,74845264.41,22000000,0,0,22800000,0,22800000,97645264.41,83976684,610740.46,11066429.89,-19233389.03,144506815.2,72784567.16,72784567.16,62492098.46,34569955.79,8196765.56,16778131.39,-821411.25,1195328.8,1341902.63,11487797.5,185590.12,470382.95,11203004.67,5406254.88,5796749.79,95774857.26,15812640.73,-21042308.56,100000,0,2161495.81,0,240268.84,56229248.58,56469517.42,2.32833,1.234781,0.754484,-0.281144,0.403239,0.425383,1.675714,0.222505,-0.295324,0.976029,-0.023971,-0.116942,0.255236,-1.522303,-1.514644,-1.514644,-0.25818,0.04628,-0.179654,-0.25818,-0.252444,-0.252444,-0.271556,-0.280986,-0.016136,8939150.28,-2.198123,-2.198123,0.04179,-0.023971,-0.023971,0.926679,1.527109,1.41514,12.243145,29.812601,0.527699,691.68219,721.494791,2.310006,0.77249,1.291666,0.473635,1.6616,1.139742,0.334591,0.497566,0.719649,0.233199,0.016931,0.410565,0.280351,0.16966,0.05056,0.947945,0.596761,4.072354,0.766502,0.766502,0.233498,3.411104,1.025421,-0.025421,-3.630018,1.315868,-0.289104,-1.83171,22000000,-200000,440268.84,-21352931.09,-0.086897,-2.031416,-1714426.899,0.047724,0.026648,0.037722,0.132334,0.039627,10381593.42,1.079122,0.042872,0.525037,0.474963,0.157833,0.079643,0.112617,0.230518,-0.011286,0.331849,0.190776,,3,2,5,1,1,1,2,,,,,,1,,0
2,39941107.42,400000,2742071.14,4500063.18,0,0,18639479.88,194108869,0,264071607.4,0,0,232353.63,37821203.94,2003147.48,0,0,21181935.66,0,362043.01,0,117782.38,74210973.72,338282581.1,0,0,50865801.22,52766584.43,2490640.93,7834515.76,0,3013278.03,33127301.4,0,150098121.8,30000000,0,0,30800000,0,30800000,180898121.8,83976684,664691.5,11066429.89,-15432015.29,157384459.4,80608820,80608820,76547782,49369034.66,8429412.76,14594403.8,-732405.43,-255711.81,58315.21,3805326.19,17123943.79,263462.34,20665807.64,5040994.08,15624813.56,114259518.8,17782830.19,-5534050.66,0,21300,11212298,0,-16528410,56469517.42,39941107.42,1.759327,0.466113,0.2661,-0.03687,0.534754,0.571127,2.149403,0.178211,-0.039736,1.089114,0.089114,-0.079408,0.396984,,,,1.695444,0.844667,-0.668751,1.695444,0.107499,0.107499,0.224919,0.028383,-0.130153,31177253.49,,,0.11022,0.089114,0.089114,0.96456,1.24513,1.201002,24.79198,14.722503,0.357804,1020.111569,1034.834072,1.582232,0.755497,1.672198,0.367795,2.043193,1.134548,0.277753,0.534026,0.780624,0.11807,0.009288,0.336918,0.219376,0.111804,0.062616,0.936314,0.465246,4.975634,0.829738,0.829738,0.170262,1.511665,0.184136,0.815864,-0.354183,1.417457,-0.068653,-1.454291,8000000,-7803361.34,-8725048.66,5206438.996,-0.016359,-1.460732,-5809220.344,0.068684,0.053838,0.071291,0.396042,0.103513,19933402.21,1.036743,0.058925,0.387548,0.612452,0.047207,0.193835,0.104572,0.181052,-0.009086,0.276538,0.288385,,3,1,1,1,1,1,2,,,,,,1,,0
